Text_Response,HealthLiteracy_Score,HealthNumeracy_Score,TrustInDoctors_Score,AnxietyVisiting_Score,DrugExperience_Rating,Age,Gender,Race,Income,Education
"My trust in healthcare professionals is very high. After a few trials, I found the right medication for my condition.",6.2,6.8,8.0,3.3,4.3,74,Non-binary,Black,"< £30,000",College Diploma
,4.8,2.6,4.2,3.2,1.9,20,Female,Black,"£30,000-£50,000",University Degree
Doctors have always helped me recover well.,3.5,2.6,7.0,6.2,3.6,46,Female,Not Specified,"£30,000-£50,000",Postgraduate
,4.1,7.9,2.2,6.1,2.1,75,Female,Not Specified,"£30,000-£50,000",Postgraduate
"Clinics give me panic attacks sometimes. Doctors have always helped me recover well. After a few trials, I found the right medication for my condition.",5.7,3.9,8.1,9.0,4.0,78,Non-binary,Asian,"< £30,000",Postgraduate
"It’s hard to follow what my doctor says. I’ve had the same doctor for years, and I feel confident in their care. Some drugs caused side effects, but I worked with my doctor to adjust.",2.6,3.5,9.3,4.9,4.8,26,Male,Other,"< £30,000",High School
Doctors have always helped me recover well.,4.5,9.6,9.3,6.9,1.0,74,Male,Not Specified,"£30,000-£50,000",Postgraduate
I trust my doctor and their advice completely.,4.6,9.2,9.0,2.7,2.6,20,Male,Asian,"£30,000-£50,000",University Degree
"I feel confident navigating health portals and understanding prescriptions. I feel really anxious before seeing any doctor. I’ve had the same doctor for years, and I feel confident in their care. Medication has been effective in managing my symptoms.",8.5,6.2,8.6,8.4,4.6,50,Male,White,"> £50,000",University Degree
Medical terms confuse me a lot. Visiting the doctor makes me nervous.,2.1,2.3,1.7,9.4,2.9,29,Non-binary,White,"> £50,000",University Degree
I don’t get what doctors say most of the time. I feel really anxious before seeing any doctor.,1.6,3.9,4.2,8.3,3.9,75,Male,White,"£30,000-£50,000",Postgraduate
I always research symptoms and medication before appointments. I trust my doctor and their advice completely.,7.2,1.2,9.2,2.9,3.5,37,Female,White,"< £30,000",Postgraduate
I often nod even when I don’t understand.,1.6,1.7,1.1,6.1,3.5,51,Non-binary,Black,"£30,000-£50,000",High School
I often nod even when I don’t understand. My physician always listens to me.,1.5,3.6,8.7,1.9,1.9,39,Female,Asian,"£30,000-£50,000",University Degree
I get sweaty palms before appointments.,4.8,8.6,3.3,10.0,2.4,65,Female,Not Specified,"< £30,000",Postgraduate
I trust my doctor and their advice completely.,4.5,2.1,7.1,3.2,3.5,66,Female,Black,"£30,000-£50,000",Postgraduate
"I often nod even when I don’t understand. I avoid going to hospitals unless absolutely necessary. I’ve had the same doctor for years, and I feel confident in their care.",3.0,4.5,8.7,7.7,1.6,35,Male,Black,"£30,000-£50,000",University Degree
,6.5,6.7,1.8,5.2,2.0,72,Non-binary,Asian,"> £50,000",Postgraduate
,5.2,8.0,2.4,2.1,2.1,68,Female,White,"< £30,000",College Diploma
My doctor uses terminology I understand well.,9.6,7.7,1.2,4.6,2.0,18,Male,White,"> £50,000",Postgraduate
My trust in healthcare professionals is very high.,6.7,5.1,9.7,3.0,3.4,27,Female,Black,"< £30,000",Postgraduate
Medical journals help me stay informed about my condition. Clinics give me panic attacks sometimes.,7.3,8.4,4.7,7.2,2.2,48,Female,Black,"> £50,000",High School
I feel really anxious before seeing any doctor. My trust in healthcare professionals is very high.,4.9,9.1,9.5,7.5,2.5,42,Non-binary,Black,"> £50,000",University Degree
I feel confident navigating health portals and understanding prescriptions. I feel really anxious before seeing any doctor.,8.4,1.2,1.9,7.0,2.2,38,Non-binary,Other,"< £30,000",College Diploma
"Medical journals help me stay informed about my condition. I avoid going to hospitals unless absolutely necessary. After a few trials, I found the right medication for my condition.",9.6,4.9,4.9,7.1,4.1,67,Non-binary,Not Specified,"> £50,000",High School
"I’ve had the same doctor for years, and I feel confident in their care.",5.3,2.9,8.0,3.9,1.7,52,Male,White,"< £30,000",Postgraduate
"My trust in healthcare professionals is very high. Some drugs caused side effects, but I worked with my doctor to adjust.",6.7,1.8,9.7,6.7,4.9,72,Male,Black,"£30,000-£50,000",University Degree
,4.1,9.7,2.3,1.4,1.1,30,Non-binary,Other,"£30,000-£50,000",High School
,5.2,1.7,5.6,3.9,2.3,18,Non-binary,Other,"< £30,000",Postgraduate
"I trust my doctor and their advice completely. Some drugs caused side effects, but I worked with my doctor to adjust.",6.7,2.5,7.9,6.2,4.7,77,Non-binary,Asian,"> £50,000",University Degree
I avoid going to hospitals unless absolutely necessary.,4.3,9.8,6.2,9.8,1.1,69,Male,Not Specified,"£30,000-£50,000",University Degree
I feel confident navigating health portals and understanding prescriptions. Prescription drugs really helped my chronic pain.,7.6,8.3,1.5,6.2,4.2,57,Non-binary,Other,"£30,000-£50,000",University Degree
Doctors have always helped me recover well. Prescription drugs really helped my chronic pain.,6.0,1.6,7.2,1.5,4.3,71,Male,Other,"> £50,000",University Degree
"I don’t get what doctors say most of the time. After a few trials, I found the right medication for my condition.",1.4,2.2,3.5,6.7,4.9,48,Female,Black,"> £50,000",High School
Medical terms confuse me a lot. I avoid going to hospitals unless absolutely necessary.,2.1,2.3,4.3,8.5,2.9,44,Non-binary,White,"> £50,000",Postgraduate
,3.9,6.1,3.3,4.6,2.3,37,Female,Not Specified,"> £50,000",University Degree
I feel confident navigating health portals and understanding prescriptions. I trust my doctor and their advice completely.,8.2,9.3,7.8,5.0,3.0,62,Female,Not Specified,"< £30,000",College Diploma
Medical terms confuse me a lot. Visiting the doctor makes me nervous.,2.1,7.7,6.4,9.1,1.8,70,Female,Black,"> £50,000",College Diploma
"I always research symptoms and medication before appointments. I feel really anxious before seeing any doctor. After a few trials, I found the right medication for my condition.",7.8,7.2,3.4,7.0,4.7,35,Non-binary,Not Specified,"> £50,000",Postgraduate
My doctor uses terminology I understand well. I get sweaty palms before appointments.,9.3,7.5,1.4,8.9,3.6,23,Female,White,"£30,000-£50,000",High School
"After a few trials, I found the right medication for my condition.",3.8,2.7,2.0,1.5,4.0,36,Non-binary,Asian,"£30,000-£50,000",Postgraduate
,3.1,1.2,4.6,5.3,1.7,65,Non-binary,Black,"< £30,000",University Degree
"I don’t get what doctors say most of the time. I’ve had the same doctor for years, and I feel confident in their care.",1.4,2.7,7.1,1.7,3.2,73,Non-binary,Asian,"> £50,000",University Degree
Medical terms confuse me a lot.,2.3,2.8,4.5,1.9,1.7,29,Non-binary,Black,"£30,000-£50,000",University Degree
Doctors have always helped me recover well. Prescription drugs really helped my chronic pain.,4.1,4.0,7.7,1.7,4.4,68,Non-binary,Black,"> £50,000",College Diploma
Medical journals help me stay informed about my condition. Visiting the doctor makes me nervous.,8.3,7.9,3.8,8.4,1.7,61,Non-binary,Other,"> £50,000",University Degree
I don’t get what doctors say most of the time. My physician always listens to me. Medication has been effective in managing my symptoms.,2.1,1.4,9.5,3.8,4.7,54,Non-binary,White,"> £50,000",College Diploma
Visiting the doctor makes me nervous. I trust my doctor and their advice completely.,3.5,9.2,9.1,9.3,3.0,74,Female,Other,"£30,000-£50,000",Postgraduate
I always research symptoms and medication before appointments.,8.8,9.6,3.9,4.8,3.9,70,Male,Asian,"> £50,000",College Diploma
,3.7,7.8,1.7,5.7,1.5,71,Non-binary,Other,"< £30,000",University Degree
I trust my doctor and their advice completely. Medication has been effective in managing my symptoms.,3.6,3.3,8.6,2.7,4.2,22,Non-binary,White,"£30,000-£50,000",High School
I feel confident navigating health portals and understanding prescriptions.,8.1,5.5,3.1,3.0,2.9,25,Male,Asian,"£30,000-£50,000",University Degree
I don’t get what doctors say most of the time. My trust in healthcare professionals is very high.,1.1,5.8,9.6,2.4,3.3,42,Non-binary,White,"< £30,000",College Diploma
Medical journals help me stay informed about my condition. Clinics give me panic attacks sometimes. My trust in healthcare professionals is very high.,9.7,8.7,8.7,8.4,2.2,47,Female,Asian,"< £30,000",University Degree
My doctor uses terminology I understand well.,9.0,9.5,5.5,4.2,2.7,76,Non-binary,Asian,"> £50,000",College Diploma
,4.0,2.9,6.6,6.1,2.9,49,Non-binary,Other,"£30,000-£50,000",Postgraduate
Medical terms confuse me a lot.,1.9,8.2,2.6,2.0,3.5,47,Male,White,"£30,000-£50,000",High School
Clinics give me panic attacks sometimes.,4.6,1.5,4.2,7.9,3.5,39,Male,Black,"£30,000-£50,000",High School
Clinics give me panic attacks sometimes.,4.3,2.7,6.7,9.0,3.6,23,Non-binary,Not Specified,"< £30,000",College Diploma
I understand most medical terms and ask informed questions. Visiting the doctor makes me nervous. Doctors have always helped me recover well. Medication has been effective in managing my symptoms.,8.3,5.7,7.5,9.1,4.1,43,Female,Not Specified,"> £50,000",High School
I feel confident navigating health portals and understanding prescriptions. My physician always listens to me. I have had mostly positive experiences with prescribed medications.,9.2,4.9,9.1,6.6,4.5,64,Male,Black,"> £50,000",Postgraduate
"It’s hard to follow what my doctor says. I’ve had the same doctor for years, and I feel confident in their care.",1.4,6.9,8.6,2.6,3.6,31,Non-binary,Asian,"£30,000-£50,000",High School
I always research symptoms and medication before appointments.,8.4,3.6,4.6,6.1,3.1,43,Non-binary,Not Specified,"< £30,000",High School
I don’t get what doctors say most of the time.,1.4,1.9,1.9,3.4,2.0,71,Male,Black,"> £50,000",Postgraduate
I always research symptoms and medication before appointments. My physician always listens to me.,7.7,6.2,7.9,1.6,2.9,71,Non-binary,Not Specified,"< £30,000",Postgraduate
Visiting the doctor makes me nervous. My trust in healthcare professionals is very high.,3.9,8.6,7.4,8.8,1.2,49,Non-binary,White,"> £50,000",Postgraduate
I understand most medical terms and ask informed questions. My trust in healthcare professionals is very high.,7.5,5.9,8.4,5.6,3.2,32,Male,White,"£30,000-£50,000",High School
It’s hard to follow what my doctor says.,1.5,7.0,3.5,1.2,1.3,33,Female,Not Specified,"£30,000-£50,000",College Diploma
Medical journals help me stay informed about my condition. Clinics give me panic attacks sometimes. My trust in healthcare professionals is very high. Medication has been effective in managing my symptoms.,9.6,4.1,8.8,9.6,4.8,49,Non-binary,Asian,"> £50,000",Postgraduate
I feel confident navigating health portals and understanding prescriptions.,8.9,9.1,3.6,2.4,3.6,40,Male,Other,"£30,000-£50,000",University Degree
Doctors have always helped me recover well. Medication has been effective in managing my symptoms.,5.4,1.9,7.1,6.1,4.5,43,Female,Other,"< £30,000",Postgraduate
I have had mostly positive experiences with prescribed medications.,6.5,6.2,5.0,5.2,4.8,41,Non-binary,Asian,"< £30,000",College Diploma
It’s hard to follow what my doctor says.,2.2,5.0,6.9,4.9,2.1,24,Female,Not Specified,"£30,000-£50,000",Postgraduate
I avoid going to hospitals unless absolutely necessary.,3.6,3.1,4.1,8.8,3.0,54,Female,White,"< £30,000",College Diploma
Visiting the doctor makes me nervous.,3.2,4.5,2.0,9.1,2.6,39,Male,Black,"< £30,000",College Diploma
I always research symptoms and medication before appointments. My physician always listens to me.,9.8,4.1,8.5,3.3,1.3,80,Male,Other,"> £50,000",College Diploma
I often nod even when I don’t understand. Prescription drugs really helped my chronic pain.,1.3,6.5,3.8,5.0,4.3,26,Non-binary,Other,"> £50,000",University Degree
I trust my doctor and their advice completely. I have had mostly positive experiences with prescribed medications.,3.2,3.8,8.6,5.4,4.3,78,Female,Other,"< £30,000",College Diploma
I feel really anxious before seeing any doctor. Medication has been effective in managing my symptoms.,4.4,4.6,2.5,9.2,4.6,76,Non-binary,White,"£30,000-£50,000",University Degree
My doctor uses terminology I understand well. My physician always listens to me.,9.9,4.6,8.4,4.7,2.8,32,Female,White,"£30,000-£50,000",University Degree
"I feel confident navigating health portals and understanding prescriptions. After a few trials, I found the right medication for my condition.",8.5,2.6,3.0,3.8,4.2,35,Female,Other,"> £50,000",Postgraduate
My trust in healthcare professionals is very high.,4.4,4.2,10.0,4.5,2.0,26,Female,Not Specified,"< £30,000",Postgraduate
,6.6,8.2,1.6,6.6,1.1,55,Male,White,"> £50,000",University Degree
I have had mostly positive experiences with prescribed medications.,5.7,3.3,3.8,5.2,4.7,71,Male,Other,"> £50,000",Postgraduate
Medical journals help me stay informed about my condition.,7.4,9.4,6.9,1.1,2.1,77,Male,Black,"< £30,000",Postgraduate
"I understand most medical terms and ask informed questions. I’ve had the same doctor for years, and I feel confident in their care.",9.2,6.8,9.8,2.4,2.2,32,Male,Asian,"< £30,000",College Diploma
,4.3,3.9,3.3,5.0,3.6,62,Female,Black,"> £50,000",College Diploma
My physician always listens to me.,3.8,1.7,7.4,5.1,3.2,47,Male,Black,"£30,000-£50,000",College Diploma
Clinics give me panic attacks sometimes.,5.1,9.0,6.0,9.3,3.0,39,Non-binary,Black,"< £30,000",High School
,3.6,4.2,5.7,5.8,3.7,69,Male,Other,"> £50,000",High School
Medical terms confuse me a lot. I avoid going to hospitals unless absolutely necessary. I trust my doctor and their advice completely.,3.0,6.9,8.0,7.1,2.9,18,Non-binary,Not Specified,"£30,000-£50,000",College Diploma
My doctor uses terminology I understand well. Clinics give me panic attacks sometimes.,9.9,4.6,2.0,8.4,1.8,31,Non-binary,Other,"< £30,000",University Degree
I understand most medical terms and ask informed questions.,7.4,2.6,1.2,2.4,2.5,32,Male,White,"> £50,000",College Diploma
Medical terms confuse me a lot. I avoid going to hospitals unless absolutely necessary. Doctors have always helped me recover well. I have had mostly positive experiences with prescribed medications.,2.0,2.8,7.9,7.9,4.3,35,Female,Other,"> £50,000",High School
Medical journals help me stay informed about my condition. I trust my doctor and their advice completely.,8.6,4.8,8.8,5.7,2.9,58,Male,Asian,"£30,000-£50,000",College Diploma
Medical journals help me stay informed about my condition. Doctors have always helped me recover well.,7.5,2.9,8.1,4.9,1.5,55,Non-binary,Asian,"> £50,000",High School
"It’s hard to follow what my doctor says. I avoid going to hospitals unless absolutely necessary. I’ve had the same doctor for years, and I feel confident in their care.",2.1,2.5,9.0,9.9,2.4,54,Non-binary,Other,"> £50,000",High School
"My physician always listens to me. After a few trials, I found the right medication for my condition.",3.6,3.0,8.4,2.9,4.7,72,Non-binary,Asian,"£30,000-£50,000",University Degree
I understand most medical terms and ask informed questions. Clinics give me panic attacks sometimes.,7.0,9.1,6.0,7.2,3.5,41,Female,Not Specified,"< £30,000",Postgraduate
My doctor uses terminology I understand well. Medication has been effective in managing my symptoms.,8.5,8.5,6.3,6.7,4.7,45,Female,White,"£30,000-£50,000",College Diploma
I understand most medical terms and ask informed questions. Prescription drugs really helped my chronic pain.,9.4,7.0,1.1,1.9,4.4,30,Non-binary,Not Specified,"£30,000-£50,000",University Degree
I feel lost when reading health information.,1.8,2.9,3.1,6.4,3.3,34,Non-binary,Black,"> £50,000",College Diploma
I get sweaty palms before appointments. My physician always listens to me.,3.6,2.9,7.9,9.4,1.2,20,Male,Not Specified,"£30,000-£50,000",Postgraduate
I don’t get what doctors say most of the time. Clinics give me panic attacks sometimes. My physician always listens to me.,2.2,6.8,8.2,8.1,3.9,61,Male,White,"> £50,000",University Degree
"I feel confident navigating health portals and understanding prescriptions. Some drugs caused side effects, but I worked with my doctor to adjust.",9.0,3.0,2.0,6.5,4.3,24,Non-binary,Not Specified,"£30,000-£50,000",Postgraduate
I feel really anxious before seeing any doctor. Doctors have always helped me recover well.,6.2,9.7,8.2,7.3,1.2,67,Male,White,"< £30,000",University Degree
It’s hard to follow what my doctor says. Medication has been effective in managing my symptoms.,2.0,8.1,2.8,1.3,4.6,45,Female,Not Specified,"£30,000-£50,000",High School
"I always research symptoms and medication before appointments. I’ve had the same doctor for years, and I feel confident in their care.",9.0,3.0,8.0,1.4,2.1,32,Female,Other,"£30,000-£50,000",Postgraduate
,6.6,7.9,1.1,3.9,1.9,71,Non-binary,Not Specified,"> £50,000",Postgraduate
I understand most medical terms and ask informed questions.,10.0,7.0,4.7,1.7,3.4,33,Male,Not Specified,"> £50,000",University Degree
Clinics give me panic attacks sometimes.,6.8,8.3,3.6,9.8,2.8,23,Non-binary,White,"< £30,000",University Degree
Clinics give me panic attacks sometimes.,3.7,4.1,5.7,9.4,3.9,37,Male,Other,"£30,000-£50,000",College Diploma
,6.2,2.5,2.3,5.5,3.9,24,Female,Asian,"> £50,000",Postgraduate
I understand most medical terms and ask informed questions. Medication has been effective in managing my symptoms.,7.8,3.0,1.9,4.5,4.7,33,Non-binary,Other,"£30,000-£50,000",College Diploma
,5.9,3.9,3.9,2.2,2.9,32,Non-binary,Not Specified,"£30,000-£50,000",University Degree
I understand most medical terms and ask informed questions.,8.1,9.7,5.5,2.5,3.7,76,Non-binary,Asian,"< £30,000",College Diploma
Medical journals help me stay informed about my condition. I avoid going to hospitals unless absolutely necessary. Doctors have always helped me recover well.,7.8,1.6,8.7,8.5,2.9,54,Female,Asian,"> £50,000",University Degree
Doctors have always helped me recover well.,6.0,7.4,7.1,1.1,1.5,67,Non-binary,Asian,"< £30,000",High School
I don’t get what doctors say most of the time. Prescription drugs really helped my chronic pain.,2.5,7.8,5.0,5.9,4.1,21,Non-binary,Other,"< £30,000",High School
,4.1,7.7,5.0,4.4,2.3,65,Male,White,"> £50,000",College Diploma
"My doctor uses terminology I understand well. Clinics give me panic attacks sometimes. Some drugs caused side effects, but I worked with my doctor to adjust.",9.7,7.9,1.2,9.6,4.1,65,Female,Black,"£30,000-£50,000",Postgraduate
Medical terms confuse me a lot.,2.3,1.7,3.8,6.6,3.5,65,Female,Other,"< £30,000",College Diploma
,3.5,5.0,2.9,1.5,3.1,78,Non-binary,Black,"£30,000-£50,000",Postgraduate
Doctors have always helped me recover well.,4.1,5.9,9.5,2.3,1.0,35,Non-binary,Black,"> £50,000",High School
I don’t get what doctors say most of the time. My trust in healthcare professionals is very high.,1.7,5.2,7.4,6.2,3.0,60,Female,White,"< £30,000",High School
,4.2,3.8,4.4,6.5,1.7,18,Female,Not Specified,"> £50,000",Postgraduate
My doctor uses terminology I understand well. Prescription drugs really helped my chronic pain.,7.9,6.2,3.4,5.5,4.9,43,Non-binary,White,"> £50,000",Postgraduate
It’s hard to follow what my doctor says.,1.2,2.8,5.0,6.7,1.8,44,Female,Asian,"£30,000-£50,000",College Diploma
I always research symptoms and medication before appointments. Doctors have always helped me recover well. Medication has been effective in managing my symptoms.,9.4,6.8,8.9,4.0,4.3,50,Female,Not Specified,"£30,000-£50,000",University Degree
My trust in healthcare professionals is very high. Prescription drugs really helped my chronic pain.,4.4,3.3,9.2,1.8,4.8,68,Male,Not Specified,"> £50,000",High School
I get sweaty palms before appointments.,5.1,9.9,5.9,7.8,1.0,49,Male,Other,"£30,000-£50,000",University Degree
My physician always listens to me.,5.5,7.6,8.0,2.4,2.7,24,Male,Asian,"£30,000-£50,000",Postgraduate
I avoid going to hospitals unless absolutely necessary.,4.8,1.9,5.0,8.3,2.2,63,Female,Other,"£30,000-£50,000",University Degree
I have had mostly positive experiences with prescribed medications.,4.9,9.6,1.3,6.3,4.0,76,Female,Black,"> £50,000",College Diploma
My doctor uses terminology I understand well. My trust in healthcare professionals is very high.,7.8,7.4,7.5,1.5,3.1,46,Non-binary,White,"> £50,000",University Degree
Medical journals help me stay informed about my condition. Visiting the doctor makes me nervous.,8.0,1.8,1.1,8.3,3.8,78,Non-binary,White,"> £50,000",University Degree
"I get sweaty palms before appointments. I’ve had the same doctor for years, and I feel confident in their care. Medication has been effective in managing my symptoms.",4.7,9.5,7.9,9.7,4.7,40,Male,Not Specified,"< £30,000",Postgraduate
"Visiting the doctor makes me nervous. I’ve had the same doctor for years, and I feel confident in their care. Prescription drugs really helped my chronic pain.",5.3,7.8,7.0,8.3,4.2,46,Male,Not Specified,"> £50,000",College Diploma
I feel lost when reading health information. I avoid going to hospitals unless absolutely necessary. I have had mostly positive experiences with prescribed medications.,2.4,3.1,3.4,8.4,4.2,70,Female,Asian,"< £30,000",Postgraduate
"I’ve had the same doctor for years, and I feel confident in their care.",5.5,6.2,8.4,3.8,1.2,31,Non-binary,White,"£30,000-£50,000",College Diploma
"I’ve had the same doctor for years, and I feel confident in their care.",5.3,9.2,8.1,4.3,1.3,21,Male,Black,"< £30,000",Postgraduate
"I’ve had the same doctor for years, and I feel confident in their care.",6.7,8.5,7.0,4.8,1.5,43,Non-binary,Black,"£30,000-£50,000",College Diploma
I understand most medical terms and ask informed questions. I avoid going to hospitals unless absolutely necessary. Prescription drugs really helped my chronic pain.,9.2,3.5,3.0,8.3,4.9,67,Male,Asian,"£30,000-£50,000",Postgraduate
,6.9,6.6,3.9,1.2,1.8,25,Male,White,"> £50,000",University Degree
I trust my doctor and their advice completely.,6.3,2.4,9.0,2.7,3.1,42,Male,Black,"> £50,000",Postgraduate
I avoid going to hospitals unless absolutely necessary.,5.6,6.4,3.9,8.9,2.8,18,Non-binary,Not Specified,"< £30,000",College Diploma
Medical journals help me stay informed about my condition.,7.3,6.7,2.1,6.6,3.2,73,Female,Other,"> £50,000",University Degree
My doctor uses terminology I understand well.,9.1,8.9,2.4,1.7,2.2,45,Male,Asian,"> £50,000",High School
Medical journals help me stay informed about my condition. Doctors have always helped me recover well.,9.9,1.2,7.1,6.5,3.6,48,Female,Asian,"£30,000-£50,000",University Degree
It’s hard to follow what my doctor says.,3.0,3.0,4.9,1.9,1.3,65,Non-binary,White,"> £50,000",High School
I don’t get what doctors say most of the time.,1.8,6.2,4.6,3.6,2.3,23,Male,Black,"< £30,000",University Degree
I often nod even when I don’t understand. I avoid going to hospitals unless absolutely necessary.,2.9,4.7,2.8,7.3,1.5,66,Male,Not Specified,"> £50,000",Postgraduate
I understand most medical terms and ask informed questions. I feel really anxious before seeing any doctor. I trust my doctor and their advice completely.,9.5,1.8,9.5,8.5,3.7,53,Female,Not Specified,"> £50,000",High School
My doctor uses terminology I understand well.,9.2,2.3,2.6,3.3,2.0,68,Female,White,"£30,000-£50,000",College Diploma
,3.8,6.2,1.3,4.4,2.0,31,Female,Black,"> £50,000",Postgraduate
,6.5,9.9,5.7,4.8,2.5,63,Non-binary,Other,"< £30,000",High School
I always research symptoms and medication before appointments. I trust my doctor and their advice completely.,8.1,1.6,9.6,4.8,2.3,70,Male,Not Specified,"£30,000-£50,000",University Degree
"I understand most medical terms and ask informed questions. After a few trials, I found the right medication for my condition.",9.8,9.4,6.8,1.2,4.0,28,Non-binary,Asian,"£30,000-£50,000",College Diploma
"Some drugs caused side effects, but I worked with my doctor to adjust.",4.0,4.5,2.4,5.7,4.0,24,Male,White,"< £30,000",University Degree
,3.5,9.4,2.8,1.6,3.6,72,Female,White,"> £50,000",High School
"I always research symptoms and medication before appointments. My trust in healthcare professionals is very high. Some drugs caused side effects, but I worked with my doctor to adjust.",8.6,9.6,7.9,2.8,4.9,76,Female,Not Specified,"< £30,000",Postgraduate
Medical journals help me stay informed about my condition.,9.3,2.5,6.0,6.0,2.8,56,Non-binary,Not Specified,"< £30,000",College Diploma
I feel confident navigating health portals and understanding prescriptions.,9.9,1.5,6.6,2.8,3.1,58,Non-binary,Asian,"< £30,000",University Degree
I understand most medical terms and ask informed questions. Visiting the doctor makes me nervous. I have had mostly positive experiences with prescribed medications.,8.0,3.2,4.5,9.6,4.0,25,Non-binary,White,"> £50,000",College Diploma
I feel really anxious before seeing any doctor. Medication has been effective in managing my symptoms.,6.2,3.0,4.8,8.0,4.3,46,Male,Not Specified,"£30,000-£50,000",Postgraduate
,3.2,7.0,1.9,1.2,3.2,18,Non-binary,White,"> £50,000",University Degree
"I feel lost when reading health information. I’ve had the same doctor for years, and I feel confident in their care. After a few trials, I found the right medication for my condition.",3.0,1.7,7.6,5.5,4.2,57,Male,Not Specified,"< £30,000",College Diploma
I always research symptoms and medication before appointments.,7.0,7.6,3.8,3.4,3.4,49,Non-binary,White,"> £50,000",Postgraduate
I don’t get what doctors say most of the time.,2.8,8.3,5.7,3.0,3.5,27,Non-binary,Black,"< £30,000",College Diploma
My doctor uses terminology I understand well. Clinics give me panic attacks sometimes.,9.5,1.7,2.0,8.6,1.4,66,Male,Asian,"> £50,000",University Degree
Medical terms confuse me a lot.,1.4,4.1,5.2,6.1,3.0,20,Non-binary,Asian,"< £30,000",High School
I feel confident navigating health portals and understanding prescriptions. My trust in healthcare professionals is very high.,9.2,7.9,9.9,5.3,1.3,48,Non-binary,White,"£30,000-£50,000",Postgraduate
"I feel confident navigating health portals and understanding prescriptions. My trust in healthcare professionals is very high. After a few trials, I found the right medication for my condition.",9.6,1.0,8.0,1.3,4.0,53,Female,Other,"< £30,000",Postgraduate
Medical journals help me stay informed about my condition.,9.4,4.5,3.2,3.0,3.0,42,Female,White,"< £30,000",College Diploma
Medical terms confuse me a lot.,2.5,7.1,4.3,3.9,2.8,68,Non-binary,Black,"> £50,000",High School
I feel really anxious before seeing any doctor. Doctors have always helped me recover well.,5.9,2.3,7.4,8.9,2.1,76,Male,Other,"> £50,000",University Degree
I don’t get what doctors say most of the time.,2.6,7.8,2.7,1.4,3.5,38,Female,White,"< £30,000",High School
"My trust in healthcare professionals is very high. After a few trials, I found the right medication for my condition.",3.2,2.5,9.8,3.6,4.6,53,Female,White,"> £50,000",High School
I feel lost when reading health information.,2.6,8.4,5.5,1.7,3.9,75,Male,Black,"> £50,000",College Diploma
"My doctor uses terminology I understand well. I’ve had the same doctor for years, and I feel confident in their care. Some drugs caused side effects, but I worked with my doctor to adjust.",9.0,2.5,7.5,5.0,4.0,72,Non-binary,Black,"< £30,000",High School
I always research symptoms and medication before appointments. Medication has been effective in managing my symptoms.,7.4,1.2,2.6,5.2,4.7,55,Non-binary,Not Specified,"£30,000-£50,000",College Diploma
I avoid going to hospitals unless absolutely necessary.,4.1,6.7,1.1,7.4,3.4,68,Male,Black,"< £30,000",University Degree
I always research symptoms and medication before appointments. I have had mostly positive experiences with prescribed medications.,7.4,9.1,2.3,3.4,5.0,56,Female,Not Specified,"> £50,000",High School
"I feel lost when reading health information. I feel really anxious before seeing any doctor. I’ve had the same doctor for years, and I feel confident in their care.",2.4,7.5,7.5,7.1,1.9,63,Female,White,"> £50,000",Postgraduate
I don’t get what doctors say most of the time. Clinics give me panic attacks sometimes.,2.9,7.0,2.7,7.0,3.0,40,Male,Asian,"< £30,000",High School
My trust in healthcare professionals is very high.,4.5,3.7,9.5,5.6,3.2,66,Male,Black,"£30,000-£50,000",High School
"I feel confident navigating health portals and understanding prescriptions. I’ve had the same doctor for years, and I feel confident in their care. Medication has been effective in managing my symptoms.",9.5,6.9,9.6,2.0,4.4,25,Female,Asian,"< £30,000",High School
My trust in healthcare professionals is very high.,4.0,8.3,8.7,3.4,2.6,71,Male,Not Specified,"> £50,000",High School
I feel confident navigating health portals and understanding prescriptions. Doctors have always helped me recover well. I have had mostly positive experiences with prescribed medications.,7.5,1.9,7.8,2.0,4.7,49,Male,Asian,"< £30,000",College Diploma
,3.5,6.2,2.1,3.4,2.6,38,Female,Asian,"> £50,000",University Degree
"My trust in healthcare professionals is very high. After a few trials, I found the right medication for my condition.",5.4,1.0,9.0,1.1,4.1,19,Female,White,"> £50,000",University Degree
,5.2,5.7,2.9,6.5,3.1,44,Male,Other,"£30,000-£50,000",University Degree
I feel lost when reading health information.,2.5,3.1,1.6,1.6,1.1,43,Female,Not Specified,"> £50,000",College Diploma
It’s hard to follow what my doctor says.,3.0,7.1,3.8,4.1,1.5,58,Non-binary,Asian,"> £50,000",High School
I avoid going to hospitals unless absolutely necessary. My physician always listens to me.,6.2,4.1,7.1,7.7,3.3,34,Male,Not Specified,"£30,000-£50,000",High School
Visiting the doctor makes me nervous. Medication has been effective in managing my symptoms.,3.5,5.6,3.3,9.1,4.1,60,Non-binary,White,"£30,000-£50,000",University Degree
,5.4,9.7,5.9,4.0,1.4,76,Female,Black,"£30,000-£50,000",College Diploma
Doctors have always helped me recover well.,5.9,8.7,8.8,6.4,2.6,61,Non-binary,Not Specified,"£30,000-£50,000",Postgraduate
,6.9,7.9,4.7,5.3,3.7,66,Female,Not Specified,"< £30,000",University Degree
Medical journals help me stay informed about my condition. Prescription drugs really helped my chronic pain.,8.9,8.1,1.2,2.1,4.4,30,Male,White,"£30,000-£50,000",University Degree
